Day	Cyclopoids	Calanoid_copepods	Rotifers	Protozoa	Nanophytoplankton	Picophytoplankton	Filamentous_diatoms	Ostracods	Harpacticoids 	Bacteria	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
878.7	0	0.42146	0	0.0026496	0.010199	0.00034733	0.11355	0	0	0.96423
882.05	0	0.28452	0.0010362	0.00191	0.011291	0.00015922	0.065979	0	0	1.1661
885.4	0	0.17758	0.0043653	0.0011322	0.012467	8.9476e-05	0.03544	0	0	1.3318
888.75	0	0.23853	0.0040669	0.048399	0.0050762	7.8996e-05	0.064306	0	0	1.1812
892.1	0	0.28973	0.0024268	0.17798	0.005722	0.00026629	0.085307	0	0	0.99434
895.45	0	0.18452	0.0030574	0.1968	0.018328	0.0010818	0.1	0	0	0.68536
898.8	0	0.33314	0.0030848	0.13785	0.044393	0.001818	0.12998	0	0	0.76797
902.15	0	0.5089	0.0058776	0.22547	0.062069	0.0020505	0.11863	0	0	0.9274
905.5	0	0.50215	0.0083861	0.35666	0.061703	0.0012243	0.093569	0	0	0.80117
908.85	0	0.33436	0.008693	0.13771	0.06741	0.0004423	0.048075	0	0	0.90123
912.2	0	0.70316	0.00408	0.1119	0.10892	0.0041988	0.025867	0	0	1.2133
915.55	0	0.67814	0.0055152	0.00040399	0.016685	0.0088261	0.01047	0	0	1.5156
918.9	0	0.53159	0.050811	3.13e-07	0.05376	0.015432	1.4037e-05	0	0	1.5953
922.25	0	0.70093	0.12258	0	0.12396	0.013065	0.13828	0	0	2.2404
925.6	0	0.85538	0.10412	0	0.12323	0.002125	0.75634	0	0	1.3728
928.95	0	0.80696	0.053094	0	0.24924	0.0019366	0.26393	0	0	0.98897
932.3	0	1.2145	0.03117	3.8921e-06	0.0014874	0.00088603	0.68961	0	0	0.85431
935.65	0	0.37372	0.0023476	0.00034663	0.0019279	2.0691e-05	0.45905	0	0	0.75484
939	0	0.62758	0.00186	0.000775	0.0019274	3.08e-05	0.08254	0	0	0.6215
942.35	0	1.0645	0.0011177	0.0239	0.0037608	1.8508e-05	1.3866	0	0	0.50549
945.7	0	0.78039	1.8817e-05	0.014072	0.0032092	3.1159e-07	0.5788	0	0	0.72498
949.05	0	0.42419	0	0.0011912	0.41006	0.00063088	0.2718	0	0	0.93599
952.4	0	0.57514	0	0	0.53228	0.005398	1.0209	0	0	1.1912
